input_id,prompt_id,arcface_cosine_face1,arcface_cosine_face2,clip_t,psnr,ssim
img_002.webp,prompt_32,36.64%,31.30%,29.30%,29.2856,96.62%
img_002.webp,prompt_33,51.09%,49.25%,28.42%,30.6835,97.28%
img_002.webp,prompt_34,46.00%,42.80%,29.85%,35.7888,97.81%
img_002.webp,prompt_35,46.00%,42.80%,26.60%,36.9428,98.21%
img_002.webp,prompt_36,48.39%,51.56%,32.47%,33.0079,97.92%
img_002.webp,prompt_37,25.45%,54.80%,29.06%,31.412,98.05%
img_002.webp,prompt_38,50.19%,47.78%,26.18%,30.0199,97.01%
img_002.webp,prompt_39,29.59%,27.93%,27.38%,33.0195,97.63%
img_002.webp,prompt_40,49.06%,42.14%,26.12%,32.5067,97.78%
img_002.webp,prompt_41,49.45%,39.80%,32.72%,34.1103,98.07%
img_003.webp,prompt_01,50.57%,38.03%,23.53%,32.6921,97.90%
img_003.webp,prompt_02,49.32%,46.07%,28.48%,32.4878,96.92%
img_003.webp,prompt_03,43.24%,50.13%,29.68%,33.0364,96.99%
img_003.webp,prompt_04,55.18%,41.98%,29.60%,33.6711,98.04%
img_003.webp,prompt_05,52.60%,33.29%,33.50%,28.362,96.53%
img_003.webp,prompt_06,51.32%,41.81%,34.15%,33.652,97.42%
img_003.webp,prompt_07,48.21%,35.94%,32.78%,35.2932,98.05%
img_003.webp,prompt_08,52.37%,42.80%,24.91%,32.1804,97.03%
img_003.webp,prompt_09,50.75%,49.18%,37.83%,33.22,96.98%
img_003.webp,prompt_10,46.00%,45.74%,26.39%,31.8246,96.99%
img_003.webp,prompt_11,39.16%,47.13%,29.36%,31.8368,97.42%
img_003.webp,prompt_12,40.51%,43.44%,32.77%,30.5409,96.83%
img_003.webp,prompt_13,44.87%,43.22%,28.36%,32.0791,97.48%
img_003.webp,prompt_14,50.69%,45.43%,29.53%,32.5637,97.26%
img_003.webp,prompt_15,48.63%,44.99%,32.51%,33.7375,97.70%
img_003.webp,prompt_16,35.28%,42.78%,31.16%,30.8698,97.43%
img_003.webp,prompt_17,50.75%,49.01%,31.99%,33.5012,97.31%
